album,Lennon,McCartney,Harrison,Starkey
Anthology 2,"['12-Bar Original', ""If You've Got Trouble"", 'Real Love']","['12-Bar Original', ""If You've Got Trouble"", 'Real Love', 'That Means a Lot']","['12-Bar Original', 'Real Love']","['12-Bar Original', 'Real Love']"
Sgt. Pepper's Lonely Hearts Club Band,"['A Day in the Life', 'Being for the Benefit of Mr. Kite!', 'Getting Better', 'Good Morning, Good Morning', 'Lucy in the Sky with Diamonds', ""She's Leaving Home"", 'With a Little Help from My Friends']","['A Day in the Life', 'Being for the Benefit of Mr. Kite!', 'Fixing a Hole', 'Getting Better', 'Lovely Rita', 'Lucy in the Sky with Diamonds', ""Sgt. Pepper's Lonely Hearts Club Band (Reprise)"", ""Sgt. Pepper's Lonely Hearts Club Band"", ""She's Leaving Home"", ""When I'm Sixty-Four"", 'With a Little Help from My Friends']",['Within You Without You'],[]
Live at the BBC,['From Us to You'],"['From Us to You', ""I'll Be on My Way""]",[],[]
Let It Be,"['Across the Universe', 'Dig a Pony', 'Dig It', ""I've Got a Feeling"", 'Maggie Mae', 'One After 909']","['Dig It', 'Get Back', ""I've Got a Feeling"", 'Let It Be', 'Maggie Mae', 'The Long and Winding Road', 'Two of Us']","['Dig It', 'For You Blue', 'I Me Mine', 'Maggie Mae']","['Dig It', 'Maggie Mae']"
Anthology 1,"['Cry for a Shadow', 'Free as a Bird', 'Hello Little Girl', ""You'll Be Mine""]","['Cayenne', 'Free as a Bird', 'In Spite of All the Danger', 'Like Dreamers Do', ""You'll Be Mine""]","['Cry for a Shadow', 'Free as a Bird', 'In Spite of All the Danger', 'You Know What to Do']",['Free as a Bird']
Anthology 3,"['Step Inside Love/Los Paranoias', ""What's The New Mary Jane""]","['Come and Get It', 'Junk', 'Step Inside Love/Los Paranoias', 'Teddy Boy']","['All Things Must Pass', 'Not Guilty', 'Step Inside Love/Los Paranoias']",['Step Inside Love/Los Paranoias']
Yellow Submarine,"['All Together Now', 'Hey Bulldog']",['All Together Now'],"[""It's All Too Much"", 'Only a Northern Song']",[]
Magical Mystery Tour,"['All You Need Is Love', ""Baby, You're a Rich Man"", 'Flying', 'I Am the Walrus', 'Magical Mystery Tour', 'Strawberry Fields Forever']","[""Baby, You're a Rich Man"", 'Flying', 'Hello, Goodbye', 'Magical Mystery Tour', 'Penny Lane', 'The Fool on the Hill', 'Your Mother Should Know']","['Blue Jay Way', 'Flying']",['Flying']
Help!,"['Help!', 'Ticket to Ride', ""You're Going to Lose That Girl"", ""You've Got to Hide Your Love Away""]","['Another Girl', 'Help!', 'The Night Before']",['I Need You'],[]
The Beatles,"['Birthday', 'Cry Baby Cry', 'Dear Prudence', ""Everybody's Got Something to Hide Except Me and My Monkey"", 'Glass Onion', 'Good Night', 'Happiness Is a Warm Gun', ""I'm So Tired"", 'Julia', 'Revolution 1', 'Revolution 9', 'Rocky Raccoon', 'Sexy Sadie', 'The Continuing Story of Bungalow Bill', 'Yer Blues']","['Back in the U.S.S.R.', 'Birthday', 'Blackbird', 'Helter Skelter', 'Honey Pie', 'I Will', 'Martha My Dear', ""Mother Nature's Son"", 'Ob-La-Di, Ob-La-Da', 'Rocky Raccoon', ""Why Don't We Do It in the Road?"", 'Wild Honey Pie']","['Long, Long, Long', 'Piggies', 'Revolution 9', 'Savoy Truffle', 'While My Guitar Gently Weeps']","[""Don't Pass Me By""]"
Abbey Road,"['Because', 'Come Together', ""I Want You (She's So Heavy)"", 'Mean Mr. Mustard', 'Polythene Pam', 'Sun King']","['Carry That Weight', 'Golden Slumbers', 'Her Majesty', ""Maxwell's Silver Hammer"", 'Oh! Darling', 'She Came in Through the Bathroom Window', 'The End', 'You Never Give Me Your Money']","['Here Comes the Sun', ""Octopus's Garden"", 'Something']","[""Octopus's Garden""]"
Revolver,"['She Said She Said', 'Taxman', 'Tomorrow Never Knows']","['Eleanor Rigby', 'For No One', 'Good Day Sunshine', 'Got to Get You into My Life', 'Here, There and Everywhere', 'Yellow Submarine']","['I Want to Tell You', 'Love You To', 'Taxman']",[]
Rubber Soul,"['Girl', 'In My Life', 'Michelle', 'Norwegian Wood (This Bird Has Flown)', 'Run for Your Life', 'The Word', 'Wait']","[""I'm Looking Through You"", 'In My Life', 'Michelle', 'Norwegian Wood (This Bird Has Flown)', 'Run for Your Life', 'The Word', 'Wait', ""You Won't See Me""]",['Think for Yourself'],[]
